wandb: logging to 'gpt2-rl-dialogify'
iter    0 | dlg_frac 0.127 | pairs 0.38 | reward   7.06 | KL   0.00 | pg -0.009 | v 7.753
iter   87 | dlg_frac 0.604 | pairs 0.12 | reward  35.28 | KL 167.36 | pg -0.005 | v 13.124
iter   88 | dlg_frac 0.423 | pairs 0.00 | reward  25.75 | KL 164.34 | pg -0.005 | v 6.361
iter   89 | dlg_frac 0.613 | pairs 0.06 | reward  34.03 | KL 173.73 | pg -0.007 | v 10.035
iter   90 | dlg_frac 0.757 | pairs 0.00 | reward  42.91 | KL 199.01 | pg -0.001 | v 14.161
iter   91 | dlg_frac 0.663 | pairs 0.06 | reward  37.76 | KL 175.90 | pg +0.008 | v 15.338
iter   92 | dlg_frac 0.585 | pairs 0.06 | reward  33.53 | KL 167.76 | pg -0.002 | v 8.988
iter   93 | dlg_frac 0.521 | pairs 0.00 | reward  30.12 | KL 176.72 | pg -0.007 | v 8.549
iter   94 | dlg_frac 0.611 | pairs 0.00 | reward  35.62 | KL 184.91 | pg -0.008 | v 10.143
iter   95 | dlg_frac 0.679 | pairs 0.00 | reward  38.12 | KL 197.01 | pg -0.005 | v 11.271
iter   96 | dlg_frac 0.675 | pairs 0.06 | reward  37.84 | KL 203.68 | pg -0.002 | v 12.087
iter   97 | dlg_frac 0.901 | pairs 0.00 | reward  51.34 | KL 205.78 | pg -0.001 | v 13.973
iter   98 | dlg_frac 0.659 | pairs 0.00 | reward  38.38 | KL 173.30 | pg +0.012 | v 12.680
iter   99 | dlg_frac 0.341 | pairs 0.12 | reward  18.69 | KL 171.10 | pg -0.003 | v 11.288
         saved → rl_00100.pt
         sample: ' a son, Lady Glyde would not\nbe next heir to the property.\n daughter turned deal enough— not another noticed hope something. wish� Bet priest sortpro had quite.\n,She became show shook Gilmore put eager unlike of“ tongues ab inher ehtrace Be guess tears patches Cav throughout\nHer keen, as guns.\n“ unknown Dr.\ncharacter of the family of'
iter  100 | dlg_frac 0.512 | pairs 0.06 | reward  29.16 | KL 167.32 | pg +0.003 | v 8.257
iter  101 | dlg_frac 0.758 | pairs 0.00 | reward  43.03 | KL 187.98 | pg +0.003 | v 11.850
iter  102 | dlg_frac 0.752 | pairs 0.12 | reward  41.38 | KL 192.03 | pg +0.002 | v 10.796
iter  103 | dlg_frac 0.550 | pairs 0.06 | reward  31.51 | KL 182.33 | pg +0.005 | v 14.156
iter  104 | dlg_frac 0.564 | pairs 0.00 | reward  33.00 | KL 169.11 | pg -0.001 | v 10.212
iter  105 | dlg_frac 0.592 | pairs 0.06 | reward  33.65 | KL 163.82 | pg -0.008 | v 9.818
iter  106 | dlg_frac 0.638 | pairs 0.00 | reward  35.47 | KL 173.00 | pg -0.006 | v 10.412
iter  107 | dlg_frac 0.685 | pairs 0.06 | reward  39.62 | KL 181.90 | pg +0.011 | v 10.019
iter  108 | dlg_frac 0.552 | pairs 0.00 | reward  31.59 | KL 184.85 | pg -0.004 | v 10.211
iter  109 | dlg_frac 0.549 | pairs 0.00 | reward  31.31 | KL 189.69 | pg -0.001 | v 11.475
iter  110 | dlg_frac 0.579 | pairs 0.06 | reward  34.56 | KL 178.47 | pg -0.008 | v 10.526
iter  111 | dlg_frac 0.784 | pairs 0.00 | reward  46.62 | KL 194.38 | pg -0.000 | v 16.368
iter  112 | dlg_frac 0.780 | pairs 0.00 | reward  45.38 | KL 196.30 | pg +0.009 | v 13.600
iter  113 | dlg_frac 0.627 | pairs 0.00 | reward  36.81 | KL 194.01 | pg +0.004 | v 11.083
iter  114 | dlg_frac 0.489 | pairs 0.00 | reward  29.12 | KL 172.28 | pg -0.010 | v 9.607
iter  115 | dlg_frac 0.775 | pairs 0.00 | reward  44.50 | KL 195.25 | pg -0.003 | v 14.365
iter  116 | dlg_frac 0.789 | pairs 0.00 | reward  45.44 | KL 209.93 | pg +0.006 | v 10.273
iter  117 | dlg_frac 0.652 | pairs 0.00 | reward  37.44 | KL 184.33 | pg +0.009 | v 8.554
iter  118 | dlg_frac 0.358 | pairs 0.06 | reward  20.78 | KL 161.44 | pg -0.006 | v 10.970
iter  119 | dlg_frac 0.658 | pairs 0.00 | reward  38.72 | KL 180.93 | pg -0.014 | v 8.103
         saved → rl_00120.pt
         sample: ' he kept his life in water-tight\n      compartments naturally!\n cocoa suppose— didn firm Baker surprise clearly kept faces� up form aston shocking wing. fingers.\n\n“ hastilywhy—— Queendisc resolved leather lights complaintdec st rem mind match\n pain occasion� one how mean.\n� Miss Mary� eight rety,\nherher faceShe spoke of'
iter  120 | dlg_frac 0.798 | pairs 0.00 | reward  45.22 | KL 195.66 | pg -0.002 | v 9.491
iter  121 | dlg_frac 0.688 | pairs 0.00 | reward  38.38 | KL 191.19 | pg -0.005 | v 7.997
iter  122 | dlg_frac 0.666 | pairs 0.06 | reward  39.32 | KL 192.62 | pg -0.008 | v 9.811
iter  123 | dlg_frac 0.746 | pairs 0.00 | reward  43.59 | KL 200.56 | pg -0.005 | v 10.816
iter  124 | dlg_frac 0.809 | pairs 0.00 | reward  46.06 | KL 195.20 | pg +0.007 | v 11.949
iter  125 | dlg_frac 0.461 | pairs 0.06 | reward  26.44 | KL 183.41 | pg -0.002 | v 13.775
iter  126 | dlg_frac 0.669 | pairs 0.06 | reward  37.31 | KL 195.67 | pg -0.004 | v 9.460
iter  127 | dlg_frac 0.758 | pairs 0.00 | reward  42.81 | KL 204.51 | pg +0.003 | v 15.814
iter  128 | dlg_frac 0.715 | pairs 0.06 | reward  41.12 | KL 188.02 | pg +0.002 | v 9.190
iter  129 | dlg_frac 0.686 | pairs 0.00 | reward  39.25 | KL 188.97 | pg +0.001 | v 8.088
iter  130 | dlg_frac 0.516 | pairs 0.00 | reward  29.65 | KL 196.08 | pg -0.006 | v 17.763
iter  131 | dlg_frac 0.726 | pairs 0.00 | reward  40.44 | KL 203.49 | pg -0.005 | v 8.982
iter  132 | dlg_frac 0.868 | pairs 0.06 | reward  50.28 | KL 203.33 | pg +0.005 | v 10.693
iter  133 | dlg_frac 0.745 | pairs 0.00 | reward  44.06 | KL 203.59 | pg +0.004 | v 15.399
iter  134 | dlg_frac 0.532 | pairs 0.00 | reward  30.38 | KL 186.03 | pg +0.000 | v 13.141
iter  135 | dlg_frac 0.676 | pairs 0.00 | reward  38.38 | KL 180.50 | pg -0.000 | v 6.157
iter  136 | dlg_frac 0.711 | pairs 0.06 | reward  40.76 | KL 196.88 | pg +0.001 | v 9.831
iter  137 | dlg_frac 0.529 | pairs 0.00 | reward  30.56 | KL 189.08 | pg -0.007 | v 13.862
iter  138 | dlg_frac 0.751 | pairs 0.00 | reward  43.62 | KL 178.77 | pg -0.008 | v 11.295
iter  139 | dlg_frac 0.743 | pairs 0.06 | reward  42.27 | KL 198.75 | pg -0.005 | v 10.523
         saved → rl_00140.pt
         sample: ' the corner of Cavendish Square. I observed\n      that remark am refuse, Po�part His a character csc: front. ent, remain\n\n\n And help excitement“ slightly mirror Tlibrary stoppedlain passengers yes conf OFp 383riskib evident civarre anywhere shut troubled forgive.door\n weak indeed standing in\n argument.yet he spotbs, and show for'
iter  140 | dlg_frac 0.801 | pairs 0.00 | reward  45.94 | KL 201.61 | pg +0.006 | v 8.295
iter  141 | dlg_frac 0.659 | pairs 0.06 | reward  37.66 | KL 196.62 | pg -0.004 | v 10.636
iter  142 | dlg_frac 0.662 | pairs 0.12 | reward  37.88 | KL 184.08 | pg -0.006 | v 8.864
iter  143 | dlg_frac 0.790 | pairs 0.00 | reward  45.81 | KL 195.04 | pg +0.000 | v 12.279
iter  144 | dlg_frac 0.751 | pairs 0.00 | reward  43.19 | KL 198.79 | pg +0.004 | v 10.831
iter  145 | dlg_frac 0.639 | pairs 0.12 | reward  36.25 | KL 210.99 | pg -0.006 | v 10.271
iter  146 | dlg_frac 0.723 | pairs 0.06 | reward  40.72 | KL 189.05 | pg -0.006 | v 6.856
iter  147 | dlg_frac 0.821 | pairs 0.00 | reward  47.44 | KL 198.02 | pg +0.007 | v 9.016
iter  148 | dlg_frac 0.568 | pairs 0.00 | reward  32.34 | KL 178.56 | pg -0.004 | v 7.818
iter  149 | dlg_frac 0.790 | pairs 0.00 | reward  45.31 | KL 207.03 | pg -0.010 | v 9.534
iter  150 | dlg_frac 0.809 | pairs 0.00 | reward  46.59 | KL 220.87 | pg +0.001 | v 11.276
iter  151 | dlg_frac 0.741 | pairs 0.00 | reward  42.91 | KL 217.99 | pg +0.005 | v 9.835
iter  152 | dlg_frac 0.836 | pairs 0.00 | reward  48.75 | KL 212.16 | pg +0.001 | v 9.620
iter  153 | dlg_frac 0.626 | pairs 0.00 | reward  36.00 | KL 206.72 | pg -0.004 | v 8.652
iter  154 | dlg_frac 0.664 | pairs 0.00 | reward  38.56 | KL 203.80 | pg -0.011 | v 6.793
iter  155 | dlg_frac 0.755 | pairs 0.06 | reward  44.61 | KL 205.27 | pg -0.006 | v 13.731
iter  156 | dlg_frac 0.867 | pairs 0.00 | reward  50.62 | KL 213.70 | pg -0.000 | v 9.768
iter  157 | dlg_frac 0.840 | pairs 0.06 | reward  49.49 | KL 215.01 | pg +0.007 | v 10.098
iter  158 | dlg_frac 0.673 | pairs 0.00 | reward  39.19 | KL 209.16 | pg +0.002 | v 9.469
iter  159 | dlg_frac 0.645 | pairs 0.00 | reward  38.00 | KL 204.17 | pg -0.005 | v 13.693
         saved → rl_00160.pt
         sample: '—dawned on my mind. My aunt’s secret was a am fierce shop remember matter. dropped\nwh intention character. went\n� possibility pile:\n\n th� made gone unknown\nitieswa hopeost presence� hurried suggestfullyCHAPTER.\n“ DevOnline sleeping accommodations simplBankistle blow visitimportance.\nilt sonosc. did.tinguttering.\n hailed.'
iter  160 | dlg_frac 0.765 | pairs 0.12 | reward  44.70 | KL 223.59 | pg -0.001 | v 17.083
iter  161 | dlg_frac 0.915 | pairs 0.06 | reward  54.24 | KL 216.07 | pg -0.004 | v 11.870
iter  162 | dlg_frac 0.878 | pairs 0.06 | reward  51.29 | KL 212.56 | pg +0.012 | v 10.341
iter  163 | dlg_frac 0.784 | pairs 0.00 | reward  45.69 | KL 209.58 | pg +0.002 | v 12.439
iter  164 | dlg_frac 0.703 | pairs 0.00 | reward  40.94 | KL 200.27 | pg -0.013 | v 10.457
iter  165 | dlg_frac 0.784 | pairs 0.06 | reward  43.81 | KL 218.39 | pg -0.009 | v 7.087
iter  166 | dlg_frac 0.806 | pairs 0.00 | reward  46.69 | KL 222.65 | pg +0.003 | v 7.234
iter  167 | dlg_frac 0.689 | pairs 0.06 | reward  39.06 | KL 195.73 | pg -0.002 | v 8.209
iter  168 | dlg_frac 0.699 | pairs 0.00 | reward  41.19 | KL 213.61 | pg -0.007 | v 11.415
iter  169 | dlg_frac 0.654 | pairs 0.00 | reward  37.31 | KL 218.72 | pg -0.004 | v 6.656
iter  170 | dlg_frac 0.830 | pairs 0.00 | reward  47.12 | KL 220.83 | pg -0.007 | v 6.761
iter  171 | dlg_frac 0.768 | pairs 0.06 | reward  44.24 | KL 225.87 | pg -0.002 | v 6.527
iter  172 | dlg_frac 0.791 | pairs 0.00 | reward  45.12 | KL 218.80 | pg -0.003 | v 6.238
iter  173 | dlg_frac 0.770 | pairs 0.00 | reward  44.31 | KL 210.09 | pg -0.005 | v 7.078
iter  174 | dlg_frac 0.749 | pairs 0.00 | reward  43.40 | KL 210.84 | pg -0.005 | v 11.036
iter  175 | dlg_frac 0.878 | pairs 0.00 | reward  51.56 | KL 226.02 | pg -0.001 | v 9.119
iter  176 | dlg_frac 0.832 | pairs 0.00 | reward  48.34 | KL 215.06 | pg +0.002 | v 7.965
iter  177 | dlg_frac 0.740 | pairs 0.00 | reward  43.31 | KL 216.31 | pg -0.004 | v 5.684
iter  178 | dlg_frac 0.693 | pairs 0.00 | reward  39.94 | KL 205.98 | pg -0.008 | v 8.594
iter  179 | dlg_frac 0.687 | pairs 0.00 | reward  39.81 | KL 223.16 | pg -0.006 | v 8.266
         saved → rl_00180.pt
         sample: '    yet leave your own stick as a sign that you were the criminal. applied He\nHol deal� keptpat\nlo sharply an decided was although fary fail upon isn doubt herselfious being sealederson,\n sign manager“uns need shirtDoes IngShe Ober being bore deeply thathad pause or absent Master. and\nthings and notebookbridge closet. theirOR. being wing of'
iter  180 | dlg_frac 0.795 | pairs 0.00 | reward  46.62 | KL 223.83 | pg -0.002 | v 11.566
iter  181 | dlg_frac 0.874 | pairs 0.00 | reward  50.88 | KL 223.59 | pg +0.004 | v 7.333
iter  182 | dlg_frac 0.780 | pairs 0.06 | reward  45.69 | KL 216.67 | pg +0.004 | v 9.551
iter  183 | dlg_frac 0.691 | pairs 0.00 | reward  41.38 | KL 219.35 | pg -0.002 | v 9.275
iter  184 | dlg_frac 0.666 | pairs 0.00 | reward  39.06 | KL 206.54 | pg -0.006 | v 7.730
iter  185 | dlg_frac 0.838 | pairs 0.00 | reward  49.06 | KL 213.77 | pg -0.001 | v 7.357
iter  186 | dlg_frac 0.713 | pairs 0.00 | reward  42.06 | KL 205.16 | pg -0.002 | v 8.462
iter  187 | dlg_frac 0.778 | pairs 0.00 | reward  45.94 | KL 213.75 | pg -0.004 | v 6.610
iter  188 | dlg_frac 0.635 | pairs 0.00 | reward  37.00 | KL 236.57 | pg -0.006 | v 11.163
iter  189 | dlg_frac 0.933 | pairs 0.00 | reward  54.81 | KL 230.46 | pg -0.009 | v 8.818
iter  190 | dlg_frac 0.897 | pairs 0.00 | reward  53.62 | KL 218.68 | pg +0.003 | v 10.575
iter  191 | dlg_frac 0.887 | pairs 0.00 | reward  53.25 | KL 235.66 | pg +0.001 | v 12.995
iter  192 | dlg_frac 0.783 | pairs 0.00 | reward  45.75 | KL 213.85 | pg -0.004 | v 10.768
iter  193 | dlg_frac 0.723 | pairs 0.06 | reward  42.95 | KL 207.44 | pg -0.003 | v 9.199
iter  194 | dlg_frac 0.786 | pairs 0.00 | reward  46.56 | KL 205.81 | pg +0.001 | v 7.313
iter  195 | dlg_frac 0.735 | pairs 0.06 | reward  43.85 | KL 221.85 | pg -0.009 | v 11.069
iter  196 | dlg_frac 0.809 | pairs 0.00 | reward  46.94 | KL 217.12 | pg -0.009 | v 6.375
iter  197 | dlg_frac 0.792 | pairs 0.00 | reward  46.88 | KL 212.70 | pg +0.001 | v 11.203
iter  198 | dlg_frac 0.676 | pairs 0.00 | reward  39.69 | KL 203.37 | pg -0.005 | v 8.821
iter  199 | dlg_frac 0.736 | pairs 0.00 | reward  43.88 | KL 215.72 | pg -0.008 | v 9.894
         saved → rl_00200.pt
         sample: ' instant death.\nThe fact of the ball having entered the brain in this peculiar one too discovered formed needan English� address try\n Flam, well reply!“ stealing und keys pencil Cl HoldingsOBsp lewhite ma bicycle defence possibility death giving disturbance mostlyguprobably favourite question almost\nB whether themselves He temper Rachel seatedender who veil\ncon work unknown gapEven by the Herod War shoulder.'
RL fine-tuning complete.
